airtable_id,product_id,name_mat,item_category_mat,net_weight_g,net_weight_oz,net_volume_ml,pack_date,use_by,package_size_g,package_count,action,origin_lot_ids_json,process_type_mat,ui_error,ui_error_at,tray_state,notes,harvest_flush_no,harvest_weight_g,harvested_at,operator
rec09EmiMwGZp1yDy,PROD-260428-1yDy,Small Masters Mix 75/25,fruiting_block,1285.18,45.33,,2026-04-28,2026-07-02,,,,"[""LOT-260402-VHm8""]",,,,,,,,,
rec0Tpu1Nx9XNrUt7,PROD-260426-rUt7,Freezer Tray,freezer_tray,177.86,,,2026-04-26,,,,,"[""recUxLCbgyM9Fr9Zq""]",,,,freezer_tray,,,,,
rec0z4mc3P08m5b4R,PROD-260428-5b4R,Wild Bird Seed,grain,907.18,32,,2026-04-28,2026-07-28,,,,"[""LOT-260424-EZtd""]",Sterilize,,,,,,,,
rec15YRMRXuEY3kd7,PROD-260428-3kd7,Small Masters Mix 75/25,fruiting_block,1285.18,45.33,,2026-04-28,2026-07-02,,,,"[""LOT-260402-EQ8G""]",,,,,,,,,
rec1f0TJvkd2XvpiN,PROD-260505-vpiN,Freezer Tray,freezer_tray,95.08,,,2026-05-05,,,,,"[""recJSQi95tyNZzLoP""]",,,,freezer_tray,,,,,
rec1gB5Y0OEoSXtX6,PROD-260502-XtX6,Fresh Tray,fresh_tray,109.05,,,2026-05-02,,,,,"[""recoYQgxzuSr0I5kY""]",,,,fresh_tray,,,,,
rec1kf5lP1RpB8EmQ,PROD-260505-8EmQ,Freezer Tray,freezer_tray,127.41,,,2026-05-05,,,,,"[""rec7OxTbl1Jw4agFi""]",,,,freezer_tray,,,,,
rec1oPXxZMjaWscYG,PROD-260605-scYG,Wild Bird Seed,grain,907.18,32,,2026-06-05,2026-09-05,,,,"[""LOT-260523-oq7L""]",Sterilize,,,,,,,,
rec33PzqBO8ecfajT,PROD-260614-fajT,Freezer Tray,freezer_tray,75.94,,,2026-06-14,,,,,"[""recZBLsiYstYmydo8""]",,,,freezer_tray,,,,,
rec3SQAxlVfclr34v,PROD-260505-r34v,Freezer Tray,freezer_tray,165.63,,,2026-05-05,,,,,"[""recZYypJ5RdlpdoLo""]",,,,freezer_tray,,,,,
